region,status,order_count,total_revenue,avg_order_value
us-west,DELIVERED,242426,4.2895446611E8,1769.42
us-east,DELIVERED,232606,4.122973936E8,1772.51
eu-west,DELIVERED,189340,3.3538168021E8,1771.32
eu-central,DELIVERED,126743,2.2336003875E8,1762.31
ap-northeast,DELIVERED,104990,1.8547622509E8,1766.61
ap-south,DELIVERED,84427,1.4992226294E8,1775.76
us-west,SHIPPED,54710,9.73412029E7,1779.22
us-east,SHIPPED,52349,9.262800764E7,1769.43
eu-west,SHIPPED,43089,7.655267562E7,1776.62
sa-east,DELIVERED,41991,7.526683869E7,1792.45
us-west,PENDING,38985,6.897517402E7,1769.27
us-east,PENDING,37282,6.624657703E7,1776.91
ca-central,DELIVERED,31421,5.589822686E7,1779.01
us-west,CANCELLED,31381,5.578798529E7,1777.76
eu-west,PENDING,30485,5.422201255E7,1778.65
us-east,CANCELLED,29912,5.281936577E7,1765.83
eu-central,SHIPPED,28620,5.090544687E7,1778.67
eu-west,CANCELLED,24392,4.320475269E7,1771.27
ap-northeast,SHIPPED,23751,4.241815436E7,1785.95
us-west,RETURNED,23497,4.158317054E7,1769.72
us-east,RETURNED,22561,3.971158856E7,1760.19
eu-central,PENDING,20426,3.597477531E7,1761.22
ap-south,SHIPPED,19146,3.392295756E7,1771.8
eu-west,RETURNED,18426,3.292964607E7,1787.13
ap-northeast,PENDING,16819,2.982457229E7,1773.27
eu-central,CANCELLED,16294,2.911157953E7,1786.64
ap-south,PENDING,13482,2.420617001E7,1795.44
ap-northeast,CANCELLED,13556,2.358672998E7,1739.95
eu-central,RETURNED,12385,2.190780233E7,1768.9
ap-south,CANCELLED,10850,1.929977038E7,1778.78
ap-northeast,RETURNED,10272,1.831492512E7,1783.0
sa-east,SHIPPED,9546,1.689693026E7,1770.05
ap-south,RETURNED,8187,1.461417216E7,1785.05
ca-central,SHIPPED,7011,1.266316026E7,1806.18
sa-east,PENDING,6785,1.201664198E7,1771.06
sa-east,CANCELLED,5482,9505033.68,1733.86
ca-central,PENDING,5125,8935170.4,1743.45
ca-central,CANCELLED,4035,7107780.35,1761.53
sa-east,RETURNED,3993,7088072.68,1775.12
ca-central,RETURNED,2947,5093492.25,1728.37
